location_id,location_name,location_district,facility_code,facility_name,facility_district,similarity_score
835,Chioza Health Centre,Lilongwe,LL040303,Chiwoza Health Centre,Lilongwe,0.9761904761904762
96,Chipho Health Centre,Thyolo,TH310252,Chipho Health Centre,Thyolo,1.0
98,Chipoka Health Centre,Salima,SA090255,Chipoka Health Centre,Salima,1.0
100,Chipumi Health Centre,Mchinji,MC010259,Chipumi Health Centre,Mchinji,1.0
101,Chipwaila Health Centre,Chikwawa,CK270157,Chapwaila Health Centre,Chikwawa,0.9782608695652174
104,Chiradzulu District Hospital,Chiradzulu,CR260261,Chiradzulu District Hospital,Chiradzulu,1.0
1086,Chirimba DIC,Blantyre,BT241815,Chirimba DIC,Blantyre,1.0
108,Chiringa Maternity,Phalombe,PH220263,Chiringa Maternity,Phalombe,1.0
109,Chisala Health Centre,Nkhata Bay,KB050266,Chisala Health Centre,Nkhata Bay,1.0
1070,Chisansu health post,Chitipa,CP061528,Chisasu Health Post,Chitipa,0.975
110,Chisepo Health Centre,Dowa,DA020269,Chisepo Health Centre,Dowa,1.0
812,Chisimuka Health Centre,Rumphi,RU140271,Chisimuka Health Centre,Rumphi,1.0
112,Chisitu Health Centre,Mulanje,MU210273,Chisitu Health Centre,Mulanje,1.0
918,Chisoka Health Centre,Thyolo,TH310274,Chisoka Health Centre,Thyolo,1.0
113,Chitala Health Centre,Salima,SA090280,Chitala Health Centre,Salima,1.0
930,Chitawira Private Hospital,Blantyre,BT240281,Chitawira Private Hospital,Blantyre,1.0
114,Chitedze Health Centre,Lilongwe,LL040282,Chitedze Health Centre,Lilongwe,1.0
116,Chitera Health Centre,Chiradzulu,CR260286,Chitera Health Centre,Chiradzulu,1.0
117,Chitheka Health Centre,Nkhata Bay,KB050290,Chitheka Health Centre,Nkhata Bay,1.0
907,Chithumba Health Centre,Chikwawa,CK270291,Chithumba Health Centre,Chikwawa,1.0
1093,Chitimba DIC,Rumphi,RU141832,Chitimba DIC,Rumphi,1.0
119,Chitimba Health Centre,Rumphi,RU140292,Chitimba Health Centre,Rumphi,1.0
121,Chitipa District Hospital,Chitipa,CP060293,Chitipa District Hospital,Chitipa,1.0
124,Chitowo Health Centre,Dedza,DE030294,Chitowo Health Centre,Dedza,1.0
126,Chiunjiza Health Centre,Lilongwe,LL040298,Chiunjiza Health Centre,Lilongwe,1.0
127,Chiwamba Health Centre,Lilongwe,LL040299,Chiwamba Health Centre,Lilongwe,1.0
128,Chiwe Health Centre,Lilongwe,LL040301,Chiwe Health Centre,Lilongwe,1.0
132,Chonde Health Centre,Mulanje,MU210311,Chonde Health Centre,Mulanje,1.0
134,Chulu Health Centre,Kasungu,KU070314,Chulu Health Centre,Kasungu,1.0
853,Daeyang Luke Hospital,Lilongwe,LL040325,Daeyang Luke Hospital,Lilongwe,1.0
892,Dambe Health Centre,Neno,NE291529,Dambe Health Centre,Neno,1.0
138,Dedza District Hospital,Dedza,DE030334,Dedza District Hospital,Dedza,1.0
142,Diamphwe Health Centre,Lilongwe,LL040339,Diamphwe Health Centre,Lilongwe,1.0
873,Diamphwi Health Centre,Lilongwe,LL041532,Diamphwi Health Centre,Lilongwe,1.0
143,Dickson Health Centre,Lilongwe,LL040340,Dickson Health Centre,Lilongwe,1.0
917,Didi Health Centre,Thyolo,TH310369,Didi Health Centre,Thyolo,1.0
859,Discovery Medi Clinic,Lilongwe,LL040341,Discovery Medi Clinic,Lilongwe,1.0
144,Dolo Health Centre,Chikwawa,CK270345,Dolo Health Centre,Chikwawa,1.0
145,Domasi Rural Hospital,Zomba,ZA230347,Domasi Rural Hospital,Zomba,1.0
148,Dowa District Hospital,Dowa,DA020350,Dowa District Hospital,Dowa,1.0
152,Dwambazi Rural Hospital,Nkhotakota,NK100360,Dwambazi Rural Hospital,Nkhotakota,1.0
1034,Dzaleka Health Centre,Dowa,DA020366,Dzaleka Health Centre,Dowa,1.0
158,Dzenza Health Centre,Lilongwe,LL040368,Dzenza Health Centre,Lilongwe,1.0
159,Dzindevu Health Centre,Dedza,DE030371,Dzindevu Health Centre,Dedza,1.0
928,Dziwe Health Centre,Blantyre,BT240373,Dziwe Health Centre,Blantyre,1.0
162,Dzoole Health Centre,Dowa,DA020375,Dzoole Health Centre,Dowa,1.0
855,ESCOM Clinic Lilongwe,Lilongwe,LL040394,Escom Clinic Lilongwe,Lilongwe,1.0
166,Ekwaiweni Dispensary,Mzimba,MZ160382,Ekwaiweni Dispensary,Mzimba,1.0
1072,Enukweni Health Centre,Mzimba,MZ160393,Enukweni Health Centre,Mzimba,1.0
878,FPAM Clinic Dedza,Dedza,DE031829,FPAM Clinic Dedza,Dedza,1.0
1065,FPAM Clinic Mangochi,Mangochi,MG201857,FPAM Clinic Mangochi,Mangochi,1.0
893,FPAM Clinic Neno,Neno,NE291822,FPAM Clinic Neno,Neno,1.0
1132,Fanuel dispensary,Mchinji,MC010407,Fanuel Dispensary,Mchinji,1.0
176,Fulirwa Health Centre,Karonga,KA150413,Fulirwa Health Centre,Karonga,1.0
177,Gaga Health Centre,Chikwawa,CK270414,Gaga Health Centre,Chikwawa,1.0
889,Ganya Health Centre,Ntcheu,NT120416,Ganya Health Centre,Ntcheu,1.0
179,Gawanani Health Centre,Machinga,MC190419,Gawanani Health Centre,Machinga,1.0
180,Gogode Dispensary,Kasungu,KU070428,Gogode Dispensary,Kasungu,1.0
182,Golomoti Health Centre,Dedza,DE030430,Golomoti Health Centre,Dedza,1.0
844,Good Hope Private Clinic,Lilongwe,LL040434,Good Hope Private Clinic,Lilongwe,1.0
184,Gowa Health Centre,Ntcheu,NT120437,Gowa Health Centre,Ntcheu,1.0
186,H Parker Sharp Dispensary,Zomba,ZA230443,H Parker Sharp Dispensary,Zomba,1.0
876,Home of Hope Clinic,Mchinji,MC011863,Home of Hope Clinic,Mchinji,1.0
1102,Hope Medi Clinic,Zomba,ZA231702,Hope Medi Clinic,Zomba,1.0
191,Ifumbo Health Centre,Chitipa,CP060461,Ifumbo Health Centre,Chitipa,1.0
192,Iponga Health Centre,Karonga,KA150465,Iponga Health Centre,Karonga,1.0
193,Jalasi Health Centre,Mangochi,MG200469,Jalasi Health Centre,Mangochi,1.0
196,Kabudula Rural Hospital,Lilongwe,LL040479,Kabudula Rural Hospital,Lilongwe,1.0
200,Kachere Health Centre,Nkhata Bay,KB050484,Kachere Health Centre,Nkhata Bay,1.0
799,Kadidi Health Centre,Blantyre,BT240490,Kadidi Health Centre,Blantyre,1.0
201,Kafele Health Centre,Dedza,DE030491,Kafere Health Centre,Dedza,0.975
203,Kaigwazanga Health Centre,Mchinji,MC010494,Kaigwazanga Health Centre,Mchinji,1.0
204,Kakoma Health Centre,Chikwawa,CK270495,Kakoma Health Centre,Chikwawa,1.0
210,Kalulu Health Centre,Dedza,DE030507,Kalulu Health Centre,Dedza,1.0
211,Kaluluma Rural Hospital,Kasungu,KU070509,Kaluluma Rural Hospital,Kasungu,1.0
212,Kambenje Health Centre,Mulanje,MU210515,Kambenje Health Centre,Mulanje,1.0
213,Kamboni Health Centre,Kasungu,KU070518,Kamboni Health Centre,Kasungu,1.0
214,Kameme Health Centre,Chitipa,CP060519,Kameme Health Centre,Chitipa,1.0
217,Kamsonga Health Centre,Ntchisi,NT080525,Kamsonga Health Centre,Ntchisi,1.0
1042,Kamuzu Academy Clinic,Kasungu,KU070527,Kamuzu Academy Clinic,Kasungu,1.0
221,Kande Health Centre,Nkhata Bay,KB050533,Kande Health Centre,Nkhata Bay,1.0
223,Kang'oma Health Centre,Lilongwe,LL040536,Kang'oma Health Centre,Lilongwe,1.0
224,Kangolwa Health Centre,Ntchisi,NT080537,Kangolwa Health centre,Ntchisi,1.0
225,Kankao Health Centre,Balaka,BK170541,Kankao Health Centre,Balaka,1.0
226,Kanyama Health Centre,Dedza,DE030542,Kanyama Health Centre,Dedza,1.0
227,Kanyezi Health Centre,Dedza,DE030546,Kanyezi Health Centre,Dedza,1.0
230,Kapanga Health Centre,Mchinji,MC010551,Kapanga Health Centre,Mchinji,1.0
231,Kapelula Health Centre,Kasungu,KU070553,Kapelula Health Centre,Kasungu,1.0
232,Kapenda Health Centre,Chitipa,CP060554,Kapenda Health Centre,Chitipa,1.0
954,Kapeni Dream Centre,Blantyre,BT240556,Kapeni Dream Centre,Blantyre,1.0
233,Kapeni Health Centre,Ntcheu,NT120557,Kapeni Health Centre,Ntcheu,1.0
234,Kaphatenga Health Centre,Salima,SA090559,Kaphatenga Health Centre,Salima,1.0
235,Kaphuka Health Centre,Dedza,DE030560,Kaphuka Health Centre,Dedza,1.0
237,Kapili Health Centre,Nkhotakota,NK100562,Kapili Health Centre,Nkhotakota,1.0
238,Kapire Health Centre,Mangochi,MG201537,Kapire Health Centre,Mangochi,1.0
240,Kaporo Rural Hospital,Karonga,KA150566,Kaporo Rural Hospital,Karonga,1.0
242,Karonga District Hospital,Karonga,KA150570,Karonga District Hospital,Karonga,1.0
245,Kasalika Health Centre,Kasungu,KU070572,Kasalika Health Centre,Kasungu,1.0
801,Kaseye Mission Hospital,Chitipa,CP060579,Kaseye Mission Hospital,Chitipa,1.0
247,Kasina Health Centre,Dedza,DE030580,Kasina Health Centre,Dedza,1.0
248,Kasinje Health Centre,Ntcheu,NT120581,Kasinje Health Centre,Ntcheu,1.0
249,Kasinthula Dispensary,Chikwawa,CK270582,Kasinthula Dispensary,Chikwawa,1.0
251,Kasitu Health Centre,Nkhotakota,NK100583,Kasitu Health Centre,Nkhotakota,1.0
803,Kasoba Health Centre,Karonga,KA150585,Kasoba Health Centre,Karonga,1.0
254,Kasungu District Hospital,Kasungu,KU070588,Kasungu District Hospital,Kasungu,1.0
861,Katchale Health Centre,Lilongwe,LL040593,Katchale Health Centre,Lilongwe,1.0
257,Katema Health Centre,Mangochi,MG200594,Katema Health Centre,Mangochi,1.0
259,Katimbila Health Centre,Nkhotakota,NK100597,Katimbira Health Centre,Nkhotakota,0.9782608695652174
260,Katowo Rural Hospital,Rumphi,RU140600,Katowo Rural Hospital,Rumphi,1.0
261,Katsekera Health Centre,Ntcheu,NT120601,Katsekera Health Centre,Ntcheu,1.0
262,Katuli Health Centre,Mangochi,MG200602,Katuli Health Centre,Mangochi,1.0
263,Kaundu Health Centre,Dedza,DE030604,Kaundu Health Centre,Dedza,1.0
869,Kawale Medical Services,Lilongwe,LL040611,Kawale Medical Services,Lilongwe,1.0
266,Kawamba Health Centre,Kasungu,KU070612,Kawamba Health Centre,Kasungu,1.0
268,Kayembe Health Centre,Dowa,DA020616,Kayembe Health Centre,Dowa,1.0
271,Khola Health Centre,Kasungu,KU070625,Khola Health Centre,Kasungu,1.0
272,Khombedza Health Centre,Salima,SA090626,Khombedza Health Centre,Salima,1.0
274,Khongoni Health Centre,Lilongwe,LL040629,Khongoni Health Centre,Lilongwe,1.0
275,Khonjeni Health Centre,Thyolo,TH310631,Khonjeni Health Centre,Thyolo,1.0
277,Khuwi Health Centre,Ntchisi,NT080634,Khuwi Health Centre,Ntchisi,1.0
279,Kochilira Rural Hospital,Mchinji,MC010637,Kochilira Rural Hospital,Mchinji,1.0
281,Kukalanga Dispensary,Mangochi,MG200642,Kukalanga Dispensary,Mangochi,1.0
282,Kunenekude Health Centre,Mwanza,MW280646,Kunenekude Health Centre,Mwanza,1.0
1107,Kwidu Community Clinic,Nkhata Bay,KB051808,Kwidu Community Clinic,Nkhata Bay,1.0
283,Kwitanda Health Centre,Balaka,BK170649,Kwitanda Health Centre,Balaka,1.0
284,Lakeview Health Centre,Ntcheu,NT120652,Lake View Health Centre,Ntcheu,0.9782608695652174
285,Lambulira Health Centre,Zomba,ZA230653,Lambulira Health Centre,Zomba,1.0
286,Lemwe Health Centre,Lilongwe,LL040655,Lemwe health centre,Lilongwe,1.0
288,Lifuwu Health Centre,Salima,SA090663,Lifuwu Health Centre,Salima,1.0
756,Ligowe Health Centre,Neno,NE290665,Ligowe Health Centre,Neno,1.0
289,Likangala Health Centre,Zomba,ZA230667,Likangala Health Centre,Zomba,1.0
1082,Likuni DIC,Lilongwe,LL041840,Likuni DIC,Lilongwe,1.0
296,Lilongwe District Health Office,Lilongwe,LL041841,Lilongwe District Health Office,Lilongwe,1.0
871,Lilongwe Private Clinic,Lilongwe,LL040676,Lilongwe Private Clinic,Lilongwe,1.0
299,Limbe Health Centre,Blantyre,BT240678,Limbe Health Centre,Blantyre,1.0
300,Linyangwa Health Centre,Kasungu,KU070696,Linyangwa Health Centre,Kasungu,1.0
301,Lirangwe Health Centre,Blantyre,BT240698,Lirangwe Health Centre,Blantyre,1.0
891,Lisungwi Community Hospital,Neno,NE290700,Lisungwi Community Hospital,Neno,1.0
303,Liuzi Health Centre,Nkhata Bay,KB050701,Liuzi Health Centre,Nkhata Bay,1.0
304,Liwaladzi Health Centre,Nkhotakota,NK100704,Liwaladzi Health Centre,Nkhotakota,1.0
1003,Liwonde Medical Clinic,Machinga,MC190706,Liwonde Medical Clinic,Machinga,1.0
305,Lizulu Health Centre,Ntcheu,NT120707,Lizulu Health Centre,Ntcheu,1.0
1039,Lodjwa Health Centre,Kasungu,KU070709,Lodjwa Health Centre,Kasungu,1.0
308,Lugola Health Centre,Mangochi,MG200714,Lugola Health Centre,Mangochi,1.0
309,Lujeri Health Centre,Mulanje,MU210715,Lujeri Health Centre,Mulanje,1.0
310,Lulanga Health Centre,Mangochi,MG200717,Lulanga Health Centre,Mangochi,1.0
311,Lulwe Health Centre,Nsanje,NS300718,Lulwe Health Centre,Nsanje,1.0
312,Lumbadzi Health Centre,Lilongwe,LL040719,Lumbadzi Health Centre,Lilongwe,1.0
949,Lumbira / Mitsidi Health Centre,Blantyre,BT240722,Lumbira / Mitsidi Health Centre,Blantyre,1.0
313,Lundu Health Centre,Blantyre,BT240723,Lundu Health Centre,Blantyre,1.0
314,Lungwena Health Centre,Mangochi,MG200726,Lungwena Health Centre,Mangochi,1.0
316,Lupembe Health Centre,Karonga,KA150730,Lupembe Health Centre,Karonga,1.0
811,Lura Health Centre,Rumphi,RU140731,Lura Health Centre,Rumphi,1.0
318,Luwalika Health Centre,Mangochi,MG200737,Luwalika Health Centre,Mangochi,1.0
319,Luwani Health Centre,Neno,NE290738,Luwani Health Centre,Neno,1.0
805,Luwazi Health Centre,Nkhata Bay,KB050744,Lwazi Health Centre,Nkhata Bay,0.975
322,Luwuchi Health Centre,Rumphi,RU140742,Luwuchi Health Centre,Rumphi,1.0
325,Lwezga Health Centre,Karonga,KA150745,Lwezga Health Centre,Karonga,1.0
718,MACRO Lilongwe,Lilongwe,LL040759,Macro Lilongwe,Lilongwe,1.0
998,MASM Medi Clinic Zomba,Zomba,ZA230851,Masm Medi Clinic Zomba,Zomba,1.0
326,Mabili Health Centre,Mzimba,MZ160748,Mabiri Health Centre,Mzimba,0.975
1094,Machinga DIC,Machinga,MC191855,Machinga DIC,Machinga,1.0
328,Machinga District Hospital,Machinga,MC190752,Machinga District Hospital,Machinga,1.0
330,Machinga Health Centre,Machinga,MC190753,Machinga Health Centre,Machinga,1.0
1029,Madisi Mission Hospital,Dowa,DA020769,Madisi Mission Hospital,Dowa,1.0
334,Madziabango Health Centre,Blantyre,BT240770,Madziabango Health Centre,Blantyre,1.0
336,Maganga Health Centre,Salima,SA090778,Maganga Health Centre,Salima,1.0
337,Magareta Health Centre,Neno,NE290776,Magaleta Health Centre,Neno,0.9772727272727273
339,Makanjira Health Centre,Mangochi,MG200786,Makanjira Health Centre,Mangochi,1.0
340,Makapwa Health Centre,Thyolo,TH310787,Makapwa Health Centre,Thyolo,1.0
342,Makhanga Health Centre,Nsanje,NS300789,Makhanga Health Centre,Nsanje,1.0
343,Makhwira Health Centre,Chikwawa,CK270791,Makhwira Health Centre,Chikwawa,1.0
344,Makiyoni Health Centre,Salima,SA090792,Makioni Health Centre,Salima,0.9772727272727273
345,Makwapala Health Centre,Zomba,ZA230795,Makwapala Health Centre,Zomba,1.0
919,Makwasa Estate Clinic,Thyolo,TH310797,Makwasa Estate Clinic,Thyolo,1.0
919,Makwasa Estate Clinic,Thyolo,TH310798,Makwasa Estate Clinic,Thyolo,1.0
951,Malabada Health Centre,Blantyre,BT240799,Malabada health centre,Blantyre,1.0
1115,Malavi Health Centre,Chiradzulu,CR261827,Malavi Health Centre,Chiradzulu,1.0
352,Malingunde Health Centre,Lilongwe,LL040814,Malingunde Health Centre,Lilongwe,1.0
355,Malomo Health Centre,Ntchisi,NT080818,Malomo Health Centre,Ntchisi,1.0
356,Maluwa Health Centre,Lilongwe,LL040822,Maluwa Health Centre,Lilongwe,1.0
359,Mangochi District Hospital,Mangochi,MG200829,Mangochi District Hospital,Mangochi,1.0
901,Mangulenje Health Centre,Chikwawa,CK270830,Mangulenje Health Centre,Chikwawa,1.0
365,Maonde Health Centre,Dedza,DE030836,Maonde Health Centre,Dedza,1.0
367,Mapelera Health Centre,Chikwawa,CK270840,Maperera Health Centre,Chikwawa,0.9772727272727273
369,Mase Health Centre,Mangochi,MG200845,Mase Health Centre,Mangochi,1.0
370,Masenjere Health Centre,Nsanje,NS300846,Masenjere Health Centre,Nsanje,1.0
372,Matandani Health Centre,Neno,NE290854,Matandani Health Centre,Neno,1.0
373,Matapila Health Centre,Lilongwe,LL040855,Matapila Health Centre,Lilongwe,1.0
1081,Matawale DIC,Zomba,ZA231839,Matawale DIC,Zomba,1.0
375,Matiki Health Centre,Nkhotakota,NK100860,Matiki Health Centre,Nkhotakota,1.0
377,Matope Health Centre,Neno,NE290862,Matope Health Centre,Neno,1.0
380,Mauwa Health Centre,Chiradzulu,CR260867,Mauwa Health Centre,Chiradzulu,1.0
382,Mayaka Health Centre,Zomba,ZA230868,Mayaka Health Centre,Zomba,1.0
383,Mayani Health Centre,Dedza,DE030869,Mayani Health Centre,Dedza,1.0
840,Maziko Private Clinic,Lilongwe,LL040870,Maziko Private Clinic,Lilongwe,1.0
384,Mbabvi Health Centre,Lilongwe,LL040872,Mbabvi Health Centre,Lilongwe,1.0
388,Mbang'ombe 2 Health Centre,Lilongwe,LL040877,Mbang'ombe 2 Health Centre,Lilongwe,1.0
389,Mbenje Health Centre,Nsanje,NS300883,Mbenje Health Centre,Nsanje,1.0
390,Mbera Health Centre,Balaka,BK170884,Mbera Health Centre,Balaka,1.0
391,Mbingwa Health Centre,Dowa,DA020885,Mbingwa Health Centre,Dowa,1.0
392,Mbiza Health Centre,Mulanje,MU210886,Mbiza Health Centre,Mulanje,1.0
394,Mbulumbudzi Health Centre,Chiradzulu,CR260889,Mbulumbuzi Health Centre,Chiradzulu,0.98
396,Mbwatalika Health Centre,Lilongwe,LL040892,Mbwatalika Health Centre,Lilongwe,1.0
1053,McGuire Wellness Center (Child Legacy),Lilongwe,LL041564,McGuire Wellness Center (Child Legacy),Lilongwe,1.0
922,Mchima Clinic,Thyolo,TH310896,Mchima Clinic,Thyolo,1.0
399,Mchinji District Hospital,Mchinji,MC010898,Mchinji District Hospital,Mchinji,1.0
402,Mchoka Health Centre,Salima,SA090899,Mchoka Health Centre,Salima,1.0
403,Mdeka Health Centre,Blantyre,BT240900,Mdeka Health Centre,Blantyre,1.0
1066,Mehboob Clinic,Mangochi,MG201565,Mehboob Clinic,Mangochi,1.0
961,Merit Private Clinic,Blantyre,BT240907,Merit Private Clinic,Blantyre,1.0
404,Mfera Health Centre,Chikwawa,CK270909,Mfera Health Centre,Chikwawa,1.0
884,Mganja Health Centre,Dedza,DE030910,Mganja Health Centre,Dedza,1.0
406,Mhuju Rural Hospital,Rumphi,RU140914,Mhuju Rural Hospital,Rumphi,1.0
916,Mianga Health Centre,Thyolo,TH310916,Mianga Health Centre,Thyolo,1.0
408,Mikolongwe Health Centre,Thyolo,TH310922,Mikolongwe Health Centre,Thyolo,1.0
410,Mikundi Health Centre,Mchinji,MC010925,Mikundi Health Centre,Mchinji,1.0
411,Milepa Health Centre,Chiradzulu,CR260929,Milepa Health Centre,Chiradzulu,1.0
412,Milonde Health Centre,Mulanje,MU210930,Milonde Health Centre,Mulanje,1.0
413,Mimosa Dispensary,Mulanje,MU210931,Mimosa Dispensary,Mulanje,1.0
414,Ming'ongo Health Centre,Lilongwe,LL040932,Ming'ong'o Health Centre,Lilongwe,0.9791666666666667
416,Misomali Health Centre,Chikwawa,CK270939,Misomali Health Centre,Chikwawa,1.0
417,Misuku Health Centre,Chitipa,CP060941,Misuku Health Centre,Chitipa,1.0
420,Mkanda Health Centre,Mchinji,MC010947,Mkanda Health Centre,Mchinji,1.0
423,Mkhuzi Health Centre,Ntchisi,NT080951,Mkhuzi Health Centre,Ntchisi,1.0
424,Mkhwayi Health Centre,Phalombe,PH220952,Mkhwayi Health Centre,Phalombe,1.0
983,Mkomaola Health Centre,Mulanje,MU210956,Mkomaula Health Centre,Mulanje,0.9772727272727273
426,Mkumaniza Health Centre,Chikwawa,CK271210,Nkumaniza Health Centre,Chikwawa,0.9782608695652174
427,Mkumba Health Centre,Mangochi,MG200957,Mkumba Health Centre,Mangochi,1.0
428,Mkwepere Health Centre,Machinga,MC190959,Mkwepere Health Centre,Machinga,1.0
429,Mlale Mission Hospital,Lilongwe,LL040961,Mlale Mission Hospital,Lilongwe,1.0
431,Mlanda Health Centre,Ntcheu,NT120963,Mlanda Health Centre,Ntcheu,1.0
433,Mlangeni Health Centre,Ntcheu,NT120965,Mlangeni Health Centre,Ntcheu,1.0
867,Mlolera Womens Clinic,Lilongwe,LL040969,Mlolera Womens Clinic,Lilongwe,1.0
437,Mlomba Dispensary,Machinga,MC190971,Mlomba Dispensary,Machinga,1.0
438,Mlowe Health Centre,Rumphi,RU140972,Mlowe Health Centre,Rumphi,1.0
440,Mpala Health Centre,Mulanje,MU210989,Mpala Health Centre,Mulanje,1.0
442,Mpamba Health Centre,Nkhata Bay,KB050992,Mpamba Health Centre,Nkhata Bay,1.0
